# line name	matched via	public name	url
FOX WEATHER	id	Fox Weather	https://247wlive.foxweather.com/stream/index.m3u8
FX	id	FX	http://tvsen7.aynascope.net/fx/index.m3u8
GAME SHOW NETWORK	id	Game Show Network East (720p) [Not 24/7]	https://a-cdn.klowdtv.com/live2/gsn_720p/playlist.m3u8
GARFIELD AND FRIENDS	name	Garfield and Friends	https://jmp2.uk/plu-677f927554f43dad4b3258aa.m3u8
HGTV	name	HGTV (1080p)	https://i.mjh.nz/.r/sky-hgtv.m3u8
HI-YAH	name	Hi-YAH!	https://linear-59.frequency.stream/dist/xumo/59/hls/master/playlist.m3u8
HISTORY CHANNEL	name	History	http://88.212.15.19/live/test_history/playlist.m3u8
ION	name	ION (1080p) [Geo-blocked]	https://pb-xhb3ic8b61whm.akamaized.net/Ion_US.m3u8
ION MYSTERY	name	ION Mystery (1080p)	https://aegis-cloudfront-1.tubi.video/3b6afc3b-97f7-4f22-99f4-7bcff60fc39d/playlist.m3u8
ION PLUS	id	ION Plus	https://pb-tcsruiaw9dc0i.akamaized.net/Ion_Plus_US.m3u8
LAFF	id	Laff (576p)	http://tvsen7.aynascope.net/laff/index.m3u8
LIFETIME MOVIES	name	Lifetime Movies (1080p)	https://amg00276-amg00276c21-samsung-gb-5270.playouts.now.amagi.tv/playlist.m3u8
LIVENOW FROM FOX	id	LiveNOW from FOX	https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00488-foxdigital-livenowbyfox-lgus/playlist.m3u8
LOVE NATURE	name	Love Nature	https://bamus-klowdtv.amagi.tv/playlist.m3u8
MTV	name	MTV	https://da86m1sqpm3o0.cloudfront.net/28072023/smil:mtvindia.smil/playlist.m3u8
NEWS12 NEW YORK	id	News 12 New York (1080p)	https://aegis-cloudfront-1.tubi.video/97fbb992-c212-4164-8406-abb6f731e517/playlist.m3u8
NEWSMAX	name	Newsmax TV	https://dash3.antik.sk/live/test_newsmax_avc/playlist.m3u8
NICK JR	id	Nick Jr.	http://tvsen7.aynascope.net/nickjr/index.m3u8
NICKTOONS	id	Nicktoons	http://41.205.93.154/NICKTOONS/index.m3u8
OUTDOOR CHANNEL	id	Outdoor Channel	https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg00718-outdoorchannela-outdoortvnz-samsungnz/playlist.m3u8
OUTSIDE TV	id	Outside TV	https://outsidetv-outsidetv-mgsp6.amagi.tv/playlist/outsidetv-outsidetv/playlist.m3u8
S CBS NEWS BAY AREA	id	CBS News Bay Area	https://jmp2.uk/plu-5eb1afb21486df0007abc57c.m3u8
SCRIPPS NEWS	id	Scripps News	https://jmp2.uk/plu-5459795fc9f133a519bc0bef.m3u8
SYFY	id	SYFY	http://tvsen7.aynascope.net/syfy/index.m3u8
TEENNICK	id	TeenNick (576p)	http://tvsen7.aynascope.net/teennick/index.m3u8
TNT	name	TNT	https://streaming.televizor-24-tochka.ru/live/23.m3u8
TRAVEL CHANNEL	name	Travel TV (576p)	https://streamer103.neterra.tv/travel/live.m3u8
WE TV	id	We TV	https://streamer1.nexgen.bz/WE_TV/index.m3u8
WEATHER NATION	id	WeatherNation	http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5d2cb7ac552e3773bc48982e/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2d1028-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=dcca8395-396e-4be0-9049-564f29c5ac9b
NBC SPORTS NOW	id	NBC Sports NOW	https://jmp2.uk/plu-6549306c83595c000815a696.m3u8
CRIME 360	name	Crime 360	https://94a3e237.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/UmFrdXRlblRWLWV1X0NyaW1lMzYwX0hMUw/playlist.m3u8
AT HOME WITH FAMILY HANDYMAN	id	At Home with Family Handyman	https://linear-458.frequency.stream/dist/xumo/458/hls/master/playlist.m3u8
AUTENTIC HISTORY	name	Autentic History	https://autentic-autentichistory-1-gb.samsung.wurl.tv/playlist.m3u8
AX MEN	name	Ax Men (720p)	https://jmp2.uk/plu-6540fe4bbdf3cf0008aa2cdd.m3u8
BUZZR	id	Buzzr	https://buzzrota-ono.amagi.tv/playlist.m3u8
FREE SPEECH TV	id	Free Speech TV (720p)	https://na.linear.zype.com/f2f02a72-71d0-45f3-829f-4ae51f721102/86ef0177-697d-41c4-be57-c4d1a2b83cad-hls4/live.m3u8
GOTRAVELER	id	GoTraveler (720p) [Geo-blocked]	https://amg09501-amg09501c1-klowdtv-us-2398.playouts.now.amagi.tv/playlist/amg09501-quester-gotraveler-klowdtvus/playlist.m3u8
HIGHWAY THRU HELL	name	Highway Thru Hell (1080p)	https://amg00627-amg00627c15-samsung-au-2899.playouts.now.amagi.tv/playlist/amg00627-banijayfast-highwaythruhell-samsungau/playlist.m3u8
LAW CRIME	id	Law & Crime	https://cdn.lawandcrime.net/rewind/playlist.m3u8
NBC NEWS NOW	id	NBC News NOW	https://d1bl6tskrpq9ze.cloudfront.net/hls/master.m3u8?ads.xumo_channelId=99984003
PIXL	name	PixL TV	https://frndlymsl.akamaized.net/hls/live/2006426/pixlmsl/pixlmsl/playlist.m3u8?hdnts=st=1606053234~exp=3216054041~acl=*~hmac=208d261d9f98d76a5ac30aa2ce51751f88ee50cfc24812b7cbea8b0397489a07
POKERGO	id	PokerGO	https://jmp2.uk/plu-5fc54366b04b2300072e31af.m3u8
PURSUIT CHANNEL	id	Pursuit Channel (720p)	https://a-cdn.klowdtv.com/live3/pursuit_720p/playlist.m3u8
SALEM NEWS CHANNEL	name	Salem News Channel	https://amg00732-salemmediagroup-salemnews-klowdtv-79zyj.amagi.tv/playlist/amg00732-salemmediagroup-salemnews-klowdtv/playlist.m3u8
ACC DIGITAL NETWORK	id	ACCDN (1080p)	https://raycom-accdn-firetv.amagi.tv/playlist.m3u8
BEIN SPORTS XTRA	id	beIN SPORTS XTRA	https://bein-beinxtrasports-firetv.amagi.tv/playlist.m3u8
BIG 12 STUDIOS	name	Big 12 Studios (1080p)	https://d18pj8s9gbivdq.cloudfront.net/The_Big_12.m3u8
BILLIARD TV	id	Billiard TV (1080p) [Geo-blocked]	https://pb-wm04vonaerv0k.akamaized.net/billi.m3u8
FOX SPORTS 1	id	Fox Sports 1	https://tvsen7.aynascope.net/foxsports1/index.m3u8
FOX SPORTS 2	id	Fox Sports 2 (720p)	https://tvsen7.aynascope.net/foxsports2/index.m3u8
FUBO SPORTS NETWORK	id	Fubo Sports Network	https://aegis-cloudfront-1.tubi.video/c2ac89da-5c69-439e-b85d-d87de0548b54/5.m3u8
GOLF CHANNEL	name	Golf Channel	https://dash4.antik.sk/live/test_golf_channel/playlist.m3u8
MSG SPORTSZONE	name	MSG SportsZone (720p)	https://d2a31kzot4f8t3.cloudfront.net/v1/amc_msgsportszone_1/samsungheadend_us/latest/main/hls/playlist.m3u8
NBA TV	id	NBA TV	https://amg00556-amg00556c3-firetv-us-6060.playouts.now.amagi.tv/playlist.m3u8
NHL NETWORK	id	NHL Network	https://aegis-cloudfront-1.tubi.video/1f4cbb33-cb23-40ab-b54b-2965cc551b32/playlist.m3u8
NHL NETWORK	id	NHL Network	https://aegis-cloudfront-1.tubi.video/1f4cbb33-cb23-40ab-b54b-2965cc551b32/playlist.m3u8
SWERVE COMBAT	name	Swerve Combat (1080p)	https://linear-253.frequency.stream/mt/roku/253/hls/master/playlist.m3u8
TENNIS CHANNEL	id	Tennis Channel	https://jmp2.uk/plu-6870c9333ffa5e0c914e9205.m3u8
THE NBA CHANNEL	name	The NBA Channel (720p)	https://jmp2.uk/plu-6792c30abc03978b9b8bb832.m3u8
TYC SPORTS	name	TyC Sports	https://amg26268-amg26268c14-freelivesports-emea-10267.playouts.now.amagi.tv/ts-us-e2-n2/playlist/amg26268-sportsstudio-tycsports-freelivesportsemea/playlist.m3u8
WILLOW SPORTS	id	Willow Sports	https://jmp2.uk/plu-6972546cc62833833a187f50.m3u8
WORLD POKER TOUR	id	World Poker Tour	https://jmp2.uk/plu-5ad9b7aae738977e2c312132.m3u8
DISCOVERY TURBO	name	Discovery Turbo TV	https://jmp2.uk/plu-6400f731d200410008f9b339.m3u8
US AMERICAN WEALTH ENTERTAINMENT	id	AWE (720p)	https://a-cdn.klowdtv.com/live1/awe_720p/playlist.m3u8
US BRAVO TV ᴴᴰ	id	Bravo	http://tvsen7.aynascope.net/bravo/index.m3u8
US BRAVO ᴴᴰ	id	Bravo	http://tvsen7.aynascope.net/bravo/index.m3u8
US COMEDY CENTRAL	id	Comedy Central	https://jmp2.uk/plu-64f8a408bd341e000818fcda.m3u8
US COMEDY CENTRAL	id	Comedy Central	https://jmp2.uk/plu-64f8a408bd341e000818fcda.m3u8
US HSN	id	HSN2 (720p)	https://qvc-amd-live.akamaized.net/hls/live/2034113/lshsn2us/master.m3u8
US INFOWARS ᴴᴰ	id	InfoWars Network (1080p)	https://freespeech.akamaized.net/hls/live/2016712/live1/playlist.m3u8
US ION TV	id	ION (1080p) [Geo-blocked]	https://pb-xhb3ic8b61whm.akamaized.net/Ion_US.m3u8
US LAW CRIME	id	Law & Crime	https://cdn.lawandcrime.net/rewind/playlist.m3u8
US NBC UNIVERSO ᴴᴰ	id	NBC Universo (720p)	http://187.102.210.46/universo/index.m3u8
US OUTDOOR CHANNEL ᴴᴰ	id	Outdoor Channel	https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg00718-outdoorchannela-outdoortvnz-samsungnz/playlist.m3u8
US PURSUIT CHANNEL ᴴᴰ	id	Pursuit Channel (720p)	https://a-cdn.klowdtv.com/live3/pursuit_720p/playlist.m3u8
US QVC	id	QVC	https://a-cdn.klowdtv.com/live2/qvclive_720p/playlist.m3u8
US SYFY	id	SYFY	http://tvsen7.aynascope.net/syfy/index.m3u8
US TASTEMADE ᴴᴰ	id	Tastemade	https://jmp2.uk/plu-5f998c1fc54853000797bacd.m3u8
US WE TV	id	We TV	https://streamer1.nexgen.bz/WE_TV/index.m3u8
US WE TV	id	We TV	https://streamer1.nexgen.bz/WE_TV/index.m3u8
US WE TV ᴴᴰ	id	We TV	https://streamer1.nexgen.bz/WE_TV/index.m3u8
US WE ᴴᴰ	id	We TV	https://streamer1.nexgen.bz/WE_TV/index.m3u8
|US|  AMERICAN WEALTH ENTERTAINMENT (AWE)	id	AWE (720p)	https://a-cdn.klowdtv.com/live1/awe_720p/playlist.m3u8
|US| BRAVO ᴴᴰ	id	Bravo	http://tvsen7.aynascope.net/bravo/index.m3u8
|US| BRAVO TV ᴴᴰ	id	Bravo	http://tvsen7.aynascope.net/bravo/index.m3u8
|US| COMEDY CENTRAL	id	Comedy Central	https://jmp2.uk/plu-64f8a408bd341e000818fcda.m3u8
|US| COMEDY CENTRAL	id	Comedy Central	https://jmp2.uk/plu-64f8a408bd341e000818fcda.m3u8
Discovery Turbo	name	Discovery Turbo TV	https://jmp2.uk/plu-6400f731d200410008f9b339.m3u8
|US|  GSN ᵁᴴᴰ	id	Game Show Network East (720p) [Not 24/7]	https://a-cdn.klowdtv.com/live2/gsn_720p/playlist.m3u8
|US| GSN (Game Show Network)	id	Game Show Network East (720p) [Not 24/7]	https://a-cdn.klowdtv.com/live2/gsn_720p/playlist.m3u8
|US| HSN	id	HSN2 (720p)	https://qvc-amd-live.akamaized.net/hls/live/2034113/lshsn2us/master.m3u8
|US| NBC UNIVERSO ᴴᴰ	id	NBC Universo (720p)	http://187.102.210.46/universo/index.m3u8
|US| Outdoor Channel ᴴᴰ	id	Outdoor Channel	https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg00718-outdoorchannela-outdoortvnz-samsungnz/playlist.m3u8
|US| Pursuit Channel ᴴᴰ	id	Pursuit Channel (720p)	https://a-cdn.klowdtv.com/live3/pursuit_720p/playlist.m3u8
|US| QVC+	id	QVC	https://a-cdn.klowdtv.com/live2/qvclive_720p/playlist.m3u8
|US| SYFY	id	SYFY	http://tvsen7.aynascope.net/syfy/index.m3u8
|US| WE ᴴᴰ	id	We TV	https://streamer1.nexgen.bz/WE_TV/index.m3u8
|US| WE TV	id	We TV	https://streamer1.nexgen.bz/WE_TV/index.m3u8
|US| WE TV	id	We TV	https://streamer1.nexgen.bz/WE_TV/index.m3u8
|US| WE TV ᴴᴰ	id	We TV	https://streamer1.nexgen.bz/WE_TV/index.m3u8
US AMERICAS VOICE NEWS	id	America's Voice (720p)	https://content.uplynk.com/channel/26bd482ffe364a1282bc3df28bd3c21f.m3u8
US BLOOBMERG	id	Bloomberg TV	https://jmp2.uk/plu-62b976b93279cb000772c6f9.m3u8
US CBS NEWS ᴴᴰ	id	CBS News	https://dai.google.com/linear/hls/event/Sid4xiTQTkCT1SLu6rjUSQ/master.m3u8
US CHEDDAR BIG NEWS	id	Cheddar News	https://wurlcheddar.global.transmit.live/hls/689ceac9301c34d3919676f3/v1/Cheddar/samsung_us/latest/main/hls/playlist.m3u8
US CHEDDAR NEWS ᵁᴴᴰ	id	Cheddar News	https://wurlcheddar.global.transmit.live/hls/689ceac9301c34d3919676f3/v1/Cheddar/samsung_us/latest/main/hls/playlist.m3u8
US CNN ᴴᴰ	id	CNN	https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
US CNN ᵁᴴᴰ	id	CNN	https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
US DISTRICT OF COLUMBIA NETWORK	id	District of Columbia Network (DCN) (1080p)	https://video.oct.dc.gov/out/u/DCN.m3u8
US FOX NEWS CHANNEL ᵁᴴᴰ	id	Fox News Channel	http://247preview.foxnews.com/hls/live/2020027/fncv3preview/primary.m3u8
US NBC NEWS NOW ᴴᴰ	id	NBC News NOW	https://d1bl6tskrpq9ze.cloudfront.net/hls/master.m3u8?ads.xumo_channelId=99984003
US NEWSMAX TV ᴴᴰ	id	Newsmax TV	https://dash3.antik.sk/live/test_newsmax_avc/playlist.m3u8
US WEATHER NATION ᴴᴰ	id	WeatherNation	http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5d2cb7ac552e3773bc48982e/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2d1028-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=dcca8395-396e-4be0-9049-564f29c5ac9b
|US| AMERICA'S VOICE NEWS	id	America's Voice (720p)	https://content.uplynk.com/channel/26bd482ffe364a1282bc3df28bd3c21f.m3u8
|US| BLOOBMERG	id	Bloomberg TV	https://jmp2.uk/plu-62b976b93279cb000772c6f9.m3u8
|US| CNN ᵁᴴᴰ	id	CNN	https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
|US| CNN ᴴᴰ	id	CNN	https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
|US| NEWS 12	id	Newsy (1080p)	https://547f72e6652371c3.mediapackage.us-east-1.amazonaws.com/out/v1/e3e6e29095844c4ba7d887f01e44a5ef/index.m3u8
|US| NEWSY ᴴᴰ	id	Newsy (1080p)	https://547f72e6652371c3.mediapackage.us-east-1.amazonaws.com/out/v1/e3e6e29095844c4ba7d887f01e44a5ef/index.m3u8
|US| WEATHER NATION ᴴᴰ	id	WeatherNation	http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5d2cb7ac552e3773bc48982e/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2d1028-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=dcca8395-396e-4be0-9049-564f29c5ac9b
NHRA TV	id	NHRA TV	https://aegis-cloudfront-1.tubi.video/b8c5eb48-349b-454f-9625-63911ee923f5/playlist.m3u8
US FOX DEPORTES	id	Fox Deportes	https://live-manifest.production-public.tubi.io/live/d906efca-1302-4e29-b0d9-9a1d7a305d69/playlist.m3u8
US FOX SPORTS 1	id	Fox Sports 1	https://tvsen7.aynascope.net/foxsports1/index.m3u8
US FOX SPORTS 1	id	Fox Sports 1	https://tvsen7.aynascope.net/foxsports1/index.m3u8
US FOX SPORTS 1 US	id	Fox Sports 1	https://tvsen7.aynascope.net/foxsports1/index.m3u8
US FOX SPORTS 1 ᴴᴰ	id	Fox Sports 1	https://tvsen7.aynascope.net/foxsports1/index.m3u8
US FOX SPORTS 1 ᴴᴰ US	id	Fox Sports 1	https://tvsen7.aynascope.net/foxsports1/index.m3u8
US FOX SPORTS 2 US	id	Fox Sports 2 (720p)	https://tvsen7.aynascope.net/foxsports2/index.m3u8
US FOX SPORTS 2 ᴴᴰ	id	Fox Sports 2 (720p)	https://tvsen7.aynascope.net/foxsports2/index.m3u8
US FOX SPORTS 2 ᴴᴰ US	id	Fox Sports 2 (720p)	https://tvsen7.aynascope.net/foxsports2/index.m3u8
US NBA ᴴᴰ	id	NBA TV	https://amg00556-amg00556c3-firetv-us-6060.playouts.now.amagi.tv/playlist.m3u8
US NHL NETWORK	id	NHL Network	https://aegis-cloudfront-1.tubi.video/1f4cbb33-cb23-40ab-b54b-2965cc551b32/playlist.m3u8
US NHL NETWORK	id	NHL Network	https://aegis-cloudfront-1.tubi.video/1f4cbb33-cb23-40ab-b54b-2965cc551b32/playlist.m3u8
US NHL NETWORK ᴴᴰ	id	NHL Network	https://aegis-cloudfront-1.tubi.video/1f4cbb33-cb23-40ab-b54b-2965cc551b32/playlist.m3u8
US OUTSIDE TV ᴴᴰ	id	Outside TV	https://outsidetv-outsidetv-mgsp6.amagi.tv/playlist/outsidetv-outsidetv/playlist.m3u8
US SPORTSGRID	id	SportsGrid	https://amg00315-sportsgrid-firetv.amagi.tv/playlist.m3u8
|US| Fox Deportes	id	Fox Deportes	https://live-manifest.production-public.tubi.io/live/d906efca-1302-4e29-b0d9-9a1d7a305d69/playlist.m3u8
|US| Fox Sports 1	id	Fox Sports 1	https://tvsen7.aynascope.net/foxsports1/index.m3u8
|US| Fox Sports 1	id	Fox Sports 1	https://tvsen7.aynascope.net/foxsports1/index.m3u8
|US| Fox Sports 1 ᴴᴰ	id	Fox Sports 1	https://tvsen7.aynascope.net/foxsports1/index.m3u8
|US| Fox Sports 1 US	id	Fox Sports 1	https://tvsen7.aynascope.net/foxsports1/index.m3u8
|US| Fox Sports 2 ᴴᴰ	id	Fox Sports 2 (720p)	https://tvsen7.aynascope.net/foxsports2/index.m3u8
|US| Fox Sports 2 US	id	Fox Sports 2 (720p)	https://tvsen7.aynascope.net/foxsports2/index.m3u8
|US| NHL NETWORK	id	NHL Network	https://aegis-cloudfront-1.tubi.video/1f4cbb33-cb23-40ab-b54b-2965cc551b32/playlist.m3u8
|US| NHL Network ᴴᴰ	id	NHL Network	https://aegis-cloudfront-1.tubi.video/1f4cbb33-cb23-40ab-b54b-2965cc551b32/playlist.m3u8
|US| OUTSIDE TV ᴴᴰ	id	Outside TV	https://outsidetv-outsidetv-mgsp6.amagi.tv/playlist/outsidetv-outsidetv/playlist.m3u8
|US| SportsGrid	id	SportsGrid	https://amg00315-sportsgrid-firetv.amagi.tv/playlist.m3u8
|US| NBA ᴴᴰ	id	NBA TV	https://amg00556-amg00556c3-firetv-us-6060.playouts.now.amagi.tv/playlist.m3u8
NHRA TV	name	NHRA TV	https://aegis-cloudfront-1.tubi.video/b8c5eb48-349b-454f-9625-63911ee923f5/playlist.m3u8
P ACC DIGITAL NETWORK	id	ACCDN (1080p)	https://raycom-accdn-firetv.amagi.tv/playlist.m3u8
P BILLIARD TV	id	Billiard TV (1080p) [Geo-blocked]	https://pb-wm04vonaerv0k.akamaized.net/billi.m3u8
P CBS SPORTS HQ	id	CBS Sports HQ	https://jmp2.uk/plu-5e9f2c05172a0f0007db4786.m3u8
P ESPN 8 OCHO	id	ESPN8 The Ocho (1080p)	https://d3b6q2ou5kp8ke.cloudfront.net/ESPNTheOcho.m3u8
P FOX DEPORTES	id	Fox Deportes	https://live-manifest.production-public.tubi.io/live/d906efca-1302-4e29-b0d9-9a1d7a305d69/playlist.m3u8
P FOX SPORTS	id	Fox Sports 1	https://tvsen7.aynascope.net/foxsports1/index.m3u8
P FUBO SPORTS NETWORK	id	Fubo Sports Network	https://aegis-cloudfront-1.tubi.video/c2ac89da-5c69-439e-b85d-d87de0548b54/5.m3u8
P GLORY KICKBOXING	id	GLORY Kickboxing (720p)	https://6f972d29.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/UmFrdXRlblRWLWV1X0dsb3J5S2lja2JveGluZ19ITFM/playlist.m3u8
P NBA TV	id	NBA TV	https://amg00556-amg00556c3-firetv-us-6060.playouts.now.amagi.tv/playlist.m3u8
P NBC SPORTS NOW	id	NBC Sports NOW	https://jmp2.uk/plu-6549306c83595c000815a696.m3u8
P NHL CHANNEL	id	NFL Channel	https://jmp2.uk/plu-5ced7d5df64be98e07ed47b6.m3u8
P POKER GO	id	PokerGO	https://jmp2.uk/plu-5fc54366b04b2300072e31af.m3u8
P SPORTSGRID	id	SportsGrid	https://amg00315-sportsgrid-firetv.amagi.tv/playlist.m3u8
P STADIUM	id	Stadium	https://aegis-cloudfront-1.tubi.video/74681dcc-e6d0-4add-ad67-a22ad9c152e6/playlist.m3u8
P THE WOMENS SPORTS NETWORK	id	Women's Sports Network	https://jmp2.uk/plu-686d8dd294a028da3ac59566.m3u8
P WAYPOINT TV	id	Waypoint TV	https://djb4ma5fajjay.cloudfront.net/Waypoint_TV.m3u8
P WILLOW SPORTS	id	Willow Sports	https://jmp2.uk/plu-6972546cc62833833a187f50.m3u8
P WORLD POKER TOUR	id	World Poker Tour	https://jmp2.uk/plu-5ad9b7aae738977e2c312132.m3u8
ION PLUS	id	ION Plus	https://pb-tcsruiaw9dc0i.akamaized.net/Ion_Plus_US.m3u8
US CINE SONY	id	Cine Sony	https://a-cdn.klowdtv.com/live1/cine_720p/playlist.m3u8
US FILMRISE UNSOLVED MYSTERIES ᴴᴰ	id	Unsolved Mysteries	https://jmp2.uk/plu-5bd05b4694d45d266bc951f2.m3u8
US FILMRISE WESTERN ᴴᴰ	id	FilmRise Westerns (720p)	https://dz05z8iljgvbe.cloudfront.net/master.m3u8
US FX	id	FX	http://tvsen7.aynascope.net/fx/index.m3u8
US GRIT XTRA	id	Grit Xtra	https://pb-7k9tqpp5wqdnj.akamaized.net/Grit_Xtra_US.m3u8
US SONY CINE	id	Cine Sony	https://a-cdn.klowdtv.com/live1/cine_720p/playlist.m3u8
|US| CINE SONY	id	Cine Sony	https://a-cdn.klowdtv.com/live1/cine_720p/playlist.m3u8
|US| FX	id	FX	http://tvsen7.aynascope.net/fx/index.m3u8
|US| PIXL	id	PixL TV	https://frndlymsl.akamaized.net/hls/live/2006426/pixlmsl/pixlmsl/playlist.m3u8?hdnts=st=1606053234~exp=3216054041~acl=*~hmac=208d261d9f98d76a5ac30aa2ce51751f88ee50cfc24812b7cbea8b0397489a07
|US| SONY CINE	id	Cine Sony	https://a-cdn.klowdtv.com/live1/cine_720p/playlist.m3u8
P ABC NEWS LIVE	id	ABC News Live (1080p) [Geo-blocked]	https://pb-0n3n2ej0w8pl9.akamaized.net/ABCNewsLive_Disney.m3u8
P ACCUWEATHER NOW	id	AccuWeather Now (1080p)	https://cdn-ue1-prod.tsv2.amagi.tv/linear/amg00684-accuweather-accuweather-plex/playlist.m3u8
P ALLBLK GEMS	id	ALLBLK Gems (720p)	https://df1zke3zj042m.cloudfront.net/playlist.m3u8
P AMERICAS TEST KITCHEN	id	America's Test Kitchen (1080p) [Geo-blocked]	https://pb-zwcfuzg8t5abc.akamaized.net/Americas_Test_Kitchen.m3u8
P ARE WE THERE YET	id	Are We There Yet?	https://jmp2.uk/plu-65cf8b9328730900087c5324.m3u8
P AWE PLUS	id	AWE Plus	https://a-cdn.klowdtv.com/live1/awee/playlist.m3u8
P BACKSTAGE	id	Backstage	https://fuse-backstage-xumo.amagi.tv/playlist.m3u8
P BBC HOME GARDEN	id	BBC Home & Garden (1080p)	https://d11r33s5i066xh.cloudfront.net/playlist.m3u8
P BLOOMBERG ORIGINALS	id	Bloomberg Originals	https://e96a7526.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/UmFrdXRlblRWLWV1X0Jsb29tYmVyZ09yaWdpbmFsc19ITFM/playlist.m3u8
P BLOOMBERG TV	id	Bloomberg TV	https://jmp2.uk/plu-62b976b93279cb000772c6f9.m3u8
P BOUNCE XL	id	Bounce XL	https://jmp2.uk/plu-6176fd25e83a5f0007a464c9.m3u8
P BUZZR	id	Buzzr	https://buzzrota-ono.amagi.tv/playlist.m3u8
P CAR CHASE	id	Car Chase (720p)	https://jmp2.uk/plu-65244c403fd33c0008ffff31.m3u8
P CBS NEWS 247	id	CBS News	https://dai.google.com/linear/hls/event/Sid4xiTQTkCT1SLu6rjUSQ/master.m3u8
P CHEDDAR NEWS	id	Cheddar News	https://wurlcheddar.global.transmit.live/hls/689ceac9301c34d3919676f3/v1/Cheddar/samsung_us/latest/main/hls/playlist.m3u8
P CHOPPERTOWN TV	id	Choppertown (720p)	https://linear-11.frequency.stream/dist/glewedtv/11/hls/master/playlist.m3u8
P CINEVAULT WESTERNS	id	Cinevault Westerns (540p) [Geo-blocked]	https://gsn-cinevault-westerns-2-us.roku.wurl.tv/playlist.m3u8
P COMEDY DYNAMICS	id	Comedy Dynamics	https://d3a5mry3t5fzw9.cloudfront.net/playlist.m3u8
P COURT TV	id	Court TV	https://jmp2.uk/plu-5dae0b4841a7d0000938ddbd.m3u8
P CRUNCHYROLL	id	Crunchyroll (720p)	https://jmp2.uk/plu-65652f7fc0fc88000883537a.m3u8
P DEAL OR NO DEAL	id	Deal or No Deal	https://jmp2.uk/plu-62e92951c2db99000787c00d.m3u8
P DUCK DYNASTY	id	Duck Dynasty	https://jmp2.uk/plu-6540fe6fbfbaec0008a583ae.m3u8
P E KEEPING UP	id	E! Keeping Up (1080p)	https://xumo-xumoent-vc-117-a3ga4.fast.nbcuni.com/live/master.m3u8
P EBONY TV BY LIONSGATE	id	Ebony TV by Lionsgate	https://pb-6csswagmy4nat.akamaized.net/Ebony_TV_by_Lionsgate.m3u8
P ELECTRIC NOW	id	Electric Now	https://amg01705-amg01705c1-amgplt0095.playout.now3.amagi.tv/playlist.m3u8
P ESTRELLA TV	id	Estrella TV	https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00567-estrellamedia-estrellatv-distrotv/playlist.m3u8
P FEAR FACTOR	id	Fear Factor	https://amg00627-banijaygroup-fearfactor-samsungnz-zhrro.amagi.tv/playlist/amg00627-banijaygroup-fearfactor-samsungnz/playlist.m3u8
P FILMRISE WESTERNS	id	FilmRise Westerns (720p)	https://dz05z8iljgvbe.cloudfront.net/master.m3u8
P FOX SOUL	id	Fox Soul	https://aegis-cloudfront-1.tubi.video/0c4bd880-76cc-4000-b9cb-8edabeb88daa/index.m3u8
P FOX WEATHER	id	Fox Weather	https://247wlive.foxweather.com/stream/index.m3u8
P GAME SHOW CENTRAL	id	Game Show Central	https://jmp2.uk/plu-62e90e8cb05d2b0007f10a61.m3u8
P GRAVITAS MOVIES	id	Gravitas Movies (1080p)	https://d6dg3ebeih71x.cloudfront.net/Gravitas_Movies.m3u8
P HOMEMADENATION	id	Home.Made.Nation	https://d1kgo9l74vimu0.cloudfront.net/v1/aenetworks_ae_1/samsungheadend_us/latest/main/hls/playlist.m3u8
